                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.81969,                0.60359,                 1.2026,                0.97852,                0.95833,                0.97228,                0.74665,                0.81361,                0.37357,                0.98661,              0.0006536,              0.0006536,              0.0006536
                     37,                0.81421,                0.60334,                 1.1963,                0.97621,                 0.9585,                0.97424,                0.74794,                0.82334,                0.37641,                0.98895,               0.000614,               0.000614,               0.000614
                     38,                0.81021,                0.60234,                 1.1927,                0.97594,                0.95623,                0.97224,                0.74926,                0.81788,                0.37571,                0.98991,              0.0005744,              0.0005744,              0.0005744
                     39,                0.79982,                0.58823,                 1.1844,                0.97421,                0.96134,                0.97554,                0.75023,                0.82503,                0.37276,                0.98885,              0.0005348,              0.0005348,              0.0005348
                     40,                0.79725,                0.59335,                 1.1834,                0.98128,                0.95373,                 0.9748,                 0.7493,                0.82446,                0.37121,                 0.9918,              0.0004952,              0.0004952,              0.0004952
                     41,                0.78244,                0.55049,                 1.2046,                0.97517,                0.95679,                 0.9745,                0.74192,                0.83331,                0.37386,                0.99166,              0.0004556,              0.0004556,              0.0004556
                     42,                0.76831,                0.53479,                 1.1873,                0.97521,                0.95736,                0.97647,                0.75007,                0.82931,                0.37516,                0.98675,               0.000416,               0.000416,               0.000416
                     43,                0.75627,                0.52058,                 1.1796,                0.97992,                0.95964,                0.97522,                 0.7477,                0.82055,                0.37025,                0.98578,              0.0003764,              0.0003764,              0.0003764
                     44,                0.74328,                0.50564,                 1.1701,                0.98194,                0.95836,                0.97646,                0.75065,                 0.8332,                0.36516,                0.99167,              0.0003368,              0.0003368,              0.0003368
                     45,                0.73681,                0.50066,                 1.1648,                 0.9819,                0.95595,                0.97275,                0.75056,                 0.8256,                0.36343,                 0.9932,              0.0002972,              0.0002972,              0.0002972
                     46,                0.72492,                0.49121,                 1.1569,                0.98306,                0.95697,                0.97614,                0.74991,                0.83021,                0.36552,                0.99355,              0.0002576,              0.0002576,              0.0002576
                     47,                0.71664,                0.48499,                 1.1493,                0.98268,                0.95509,                0.97646,                0.74799,                0.83419,                0.36348,                0.99709,               0.000218,               0.000218,               0.000218
                     48,                0.70765,                 0.4751,                  1.143,                0.98704,                0.95271,                0.97502,                0.74553,                0.83608,                0.36293,                0.99928,              0.0001784,              0.0001784,              0.0001784
                     49,                0.70065,                0.46875,                 1.1354,                0.98417,                0.95456,                 0.9755,                 0.7464,                0.83256,                0.36563,                0.99751,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.6944,                0.46049,                 1.1319,                0.98534,                0.95551,                0.97551,                0.74569,                0.83363,                 0.3636,                0.99634,               9.92e-05,               9.92e-05,               9.92e-05
